A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,LABEL
787908489,536607202,0,0,52172709,33078042,5982,0,4496350,20179781,-13808072,6371709,0
816131152,554643276,0,0,54276101,33122569,5960,0,9671813,21917952,-14786824,7131128,0
859280120,571192875,0,0,56279126,33122569,4750,0,14017792,26876734,-21739754,5136980,0
890352257,572481618,0,0,58148690,33122569,4730,0,15117096,21105535,-15131095,5974440,0
913866693,580836511,0,0,59817963,33122569,4710,0,17666553,22500822,-16149583,6351239,0
962760903,602726998,0,0,61998776,33122569,4552,0,16739825,25093569,-19261748,5831821,0
1009923655,645454593,0,0,63844116,33122569,4666,0,18480941,22104770,-15854436,6250334,0
1049283624,670456746,0,0,65776796,48400000,4646,0,18769719,21046018,-14335686,6710332,0
1105744898,706574074,0,0,61848822,48400000,4624,0,22605718,21106633,-14325667,6780966,0
1138813786,738514308,0,0,62527717,48400000,10289,0,24784510,25678064,-20830193,4847871,0
1178131249,768455384,0,0,63802635,48400000,10269,0,18497435,26022606,-19523025,6499581,0
1224458597,783736092,0,0,69859729,54000000,10248,0,19545465,30777392,-24081303,6696089,0
1294187527,839101217,0,0,71464555,54000000,14576,0,21551471,28664624,-21925590,6739034,0
1344627835,886841959,0,0,69442420,54000000,14570,0,20416992,30050888,-23686908,6363980,0
1369739682,907583262,0,0,78845901,62100000,12878,0,23981136,37236325,-32129041,5107284,0
1381154731,931500709,0,0,77920212,62100000,12856,0,31950339,37893244,-32147035,5746209,0
1465549447,979510346,0,0,72600519,54000000,16143,0,39188458,46360828,-43236290,3124538,0
1460958067,959522792,0,0,71944144,60000000,16073,0,38141973,35775809,-29057809,6718000,0
1510509513,954118423,0,0,72411410,60000000,16055,0,37221149,58727589,-60205188,-1477599,0
1514682955,992636412,0,0,70673370,60000000,16038,0,44381683,39972450,-33398769,6573681,0
1515592202,992172749,0,0,73078482,60000000,17108,0,37205938,36309513,-29638147,6671366,0
1551538657,1060436763,0,0,72586421,67000000,17100,0,34390697,37088854,-28303350,8785504,0
1550909341,1076127356,0,0,74597333,67000000,17083,0,33557089,47073757,-39966339,7107418,0
1506277684,1057475953,0,0,76218169,67000000,17065,0,32315094,44870484,-35841991,9028493,0
1465545790,1069323820,0,0,78452639,67000000,17862,0,31256190,39462392,-32384390,7078002,0
1503116042,1108583688,0,0,79741790,67000000,13864,0,34188849,40953222,-34778855,6174367,0
1458256150,1072148500,0,0,82118819,67000000,13846,0,32539625,34120135,-26376621,7743514,0
1425212839,1010834540,0,0,87530779,67000000,13828,0,33545739,35134991,-28252051,6882940,0
1478842483,1047925155,0,0,89772628,67000000,14330,0,36361073,30177213,-23831116,6346097,0
1513677590,1056216338,0,0,91567645,67000000,15804,0,40000787,41983255,-37005569,4977686,0
1539260851,1076557847,0,0,92759223,67000000,15786,0,42507922,34320537,-27036833,7283704,0
1479378963,1043152700,0,0,91989546,67000000,15708,0,40407978,28458370,-20479150,7979220,0
1579306479,1158400214,0,0,94521969,67000000,15954,0,42072530,31678066,-23644941,8033125,0
1601798332,1201840117,0,0,91685951,67000000,16253,0,41041611,31310843,-23004361,8306482,0
1568535637,1147187782,0,0,94496214,67000000,60360,0,46503868,37578893,-32510834,5068059,0
1538887600,1094763799,0,0,98895999,67000000,1367250,0,44679249,27922761,-21568831,6353930,0
1663538088,1195207389,0,0,102220480,67000000,1390584,0,55938793,47439114,-47536888,-97774,0
1780471320,1303577362,0,0,105006525,67000000,1390573,0,48291972,29699725,-24162841,5536884,0
1839773399,1349130216,0,0,112088236,90000000,1400493,0,48890124,26372421,-20473821,5898600,0
1782539204,0,0,0,116723222,90000023,40574588,32993546,0,18227121,-8562886,9664235,0
7753070,5345675,0,0,772381,500000,12341,0,0,378020,-155942,222078,0
8398295,5856275,0,0,795838,500000,12341,0,0,407056,-195185,211871,0
8573194,5865126,0,0,838953,500000,12341,0,0,429663,-230694,198969,0
8308214,5558084,0,0,779933,500000,12341,0,0,431624,-205189,226435,0
8585064,5637945,0,0,825590,500000,12341,0,0,429087,-189078,240009,0
9220171,6200035,0,0,869785,500000,12341,0,0,436918,-175378,261540,0
9687887,6528438,0,0,916681,500000,12341,0,0,446178,-194196,251982,0
9330762,5853461,0,0,946274,500000,12341,0,0,439246,-158830,280416,0
